Today's Date:	20 May 2019	Date of Test:	17 May 2019, 09:09:25 AM
Filename:	AA	Tester Channel:	2
Procedure:	BB	Description:	AA
Comment:	AA Stored @ 25°C Test @ 25° Initial test
Rec	Cycle	Step	Test Time (sec)	Step Time (sec)	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	ACImp/Ohms	DCIR/Ohms	Aux #1	 Units	VAR2	VAR5	VAR8	VAR11	VAR14	
39	1	4	355.3408	55.3426	0.026709	0.098394	1.749905	3.695125	C	1	05/17/2019 9:15:20 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
40	1	4	365.3412	65.343	0.031571	0.116363	1.749905	3.697719	C	1	05/17/2019 9:15:30 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
41	1	4	375.3416	75.3434	0.036432	0.134343	1.749828	3.699702	C	1	05/17/2019 9:15:40 AM	0.00000	0.00000	25.31465	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
42	1	4	385.3466	85.3484	0.041295	0.152341	1.749981	3.701381	C	1	05/17/2019 9:15:50 AM	0.00000	0.00000	25.31465	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
43	1	4	395.347	95.3488	0.046156	0.170339	1.749828	3.703212	C	1	05/17/2019 9:16:00 AM	0.00000	0.00000	25.32990	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
44	1	4	405.3474	105.3492	0.051017	0.188345	1.749981	3.704738	C	1	05/17/2019 9:16:10 AM	0.00000	0.00000	25.32990	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
45	1	4	415.3478	115.3496	0.055879	0.206359	1.749981	3.706264	C	1	05/17/2019 9:16:20 AM	0.00000	0.00000	25.32990	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
46	1	4	425.3482	125.35	0.06074	0.224379	1.749905	3.707637	C	1	05/17/2019 9:16:30 AM	0.00000	0.00000	25.32990	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
47	1	4	435.3486	135.3504	0.065601	0.242406	1.749981	3.70901	C	1	05/17/2019 9:16:40 AM	0.00000	0.00000	25.32990	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
48	1	4	445.3536	145.3554	0.070464	0.260449	1.749828	3.710231	C	1	05/17/2019 9:16:50 AM	0.00000	0.00000	25.32990	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
49	1	4	455.354	155.3558	0.075326	0.278488	1.75021	3.711452	C	1	05/17/2019 9:17:00 AM	0.00000	0.00000	25.34516	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
50	1	4	465.3544	165.3562	0.080187	0.296534	1.749905	3.712825	C	1	05/17/2019 9:17:10 AM	0.00000	0.00000	25.34516	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
51	1	4	475.3548	175.3566	0.085048	0.314586	1.749981	3.713893	C	1	05/17/2019 9:17:20 AM	0.00000	0.00000	25.34516	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
52	1	4	485.3552	185.357	0.089909	0.332644	1.749752	3.715114	C	1	05/17/2019 9:17:30 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
53	1	4	495.3556	195.3574	0.09477	0.350707	1.749981	3.716335	C	1	05/17/2019 9:17:40 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
